iter	Passed	Remaining
0	137	137371
1	138	69139
2	139	46337
3	140	34948
4	141	28139
5	142	23566
6	143	20315
7	144	17865
8	144	15957
9	145	14445
10	146	13200
11	147	12146
12	148	11257
13	148	10491
14	150	9852
15	150	9284
16	151	8768
17	152	8306
18	152	7889
19	153	7518
20	154	7184
21	154	6877
22	155	6597
23	155	6339
24	156	6106
25	157	5890
26	157	5687
27	158	5498
28	159	5325
29	159	5160
30	160	5007
31	160	4865
32	161	4731
33	162	4604
34	162	4486
35	163	4383
36	164	4283
37	165	4184
38	166	4091
39	166	4001
40	167	3913
41	167	3831
42	168	3751
43	169	3675
44	169	3602
45	170	3531
46	170	3464
47	171	3401
48	172	3338
49	172	3279
50	173	3224
51	173	3170
52	174	3117
53	175	3067
54	175	3019
55	176	2976
56	177	2934
57	178	2891
58	178	2848
59	179	2809
60	179	2770
61	180	2730
62	181	2693
63	181	2657
64	182	2622
65	183	2593
66	183	2562
67	184	2529
68	185	2498
69	185	2467
70	186	2438
71	186	2409
72	187	2381
73	188	2354
74	189	2331
75	189	2306
76	190	2284
77	191	2260
78	191	2237
79	192	2215
80	193	2195
81	194	2174
82	194	2149
83	195	2129
84	195	2109
85	196	2090
86	197	2070
87	197	2051
88	198	2032
89	199	2014
90	199	1997
91	200	1979
92	201	1962
93	201	1945
94	202	1929
95	203	1914
96	204	1900
97	204	1885
98	205	1870
99	206	1855
100	206	1841
101	207	1827
102	208	1815
103	209	1801
104	209	1788
105	210	1775
106	211	1762
107	211	1749
108	212	1737
109	213	1725
110	213	1713
111	214	1701
112	215	1689
113	215	1677
114	216	1666
115	217	1655
116	217	1643
117	218	1633
118	219	1623
119	219	1612
120	220	1602
121	221	1591
122	221	1581
123	222	1572
124	223	1563
125	224	1554
126	224	1544
127	225	1535
128	226	1526
129	227	1519
130	227	1510
131	228	1502
132	229	1495
133	230	1486
134	230	1478
135	231	1469
136	232	1462
137	232	1454
138	233	1446
139	234	1438
140	234	1430
141	235	1422
142	236	1414
143	236	1407
144	237	1400
145	238	1393
146	238	1386
147	239	1379
148	240	1372
149	241	1365
150	241	1359
151	242	1352
152	243	1345
153	243	1338
154	244	1332
155	245	1327
156	245	1320
157	246	1314
158	247	1308
159	248	1303
160	248	1296
161	249	1291
162	250	1285
163	251	1280
164	252	1275
165	252	1269
166	253	1264
167	254	1260
168	255	1254
169	255	1249
170	256	1243
171	257	1238
172	257	1232
173	258	1229
174	259	1225
175	260	1220
176	261	1215
177	262	1211
178	263	1207
179	263	1202
180	264	1197
181	265	1192
182	266	1187
183	266	1183
184	267	1178
185	268	1173
186	268	1168
187	269	1164
188	270	1159
189	270	1154
190	271	1149
191	271	1144
192	272	1140
193	273	1135
194	274	1131
195	274	1126
196	275	1121
197	275	1117
198	276	1112
199	277	1108
200	277	1103
201	278	1099
202	278	1095
203	279	1090
204	280	1086
205	280	1082
206	281	1078
207	282	1074
208	282	1070
209	283	1066
210	284	1062
211	284	1058
212	285	1054
213	286	1051
